x,y,theta,mag,J,min_J
-3,-3,130,5.0,0.14374745615736628,0.14374745615736628
-3,-3,140,0.5,0.842458328197491,0.842458328197491
-3,-3,140,1.0,0.7384294079468915,0.7384294079468915
-3,-3,140,1.5,0.6161649805894737,0.6161649805894737
-3,-3,140,2.0,0.6042241841044128,0.6042241841044128
-3,-3,140,2.5,0.5489129409151192,0.5489129409151192
-3,-3,140,3.0,0.39665015592884056,0.39665015592884056
-3,-3,140,3.5,0.17151713041538402,0.17151713041538402
-3,-3,140,4.0,-0.02500119658557784,-0.02500119658557784
-3,-3,140,4.5,-0.0963148132048048,-0.0963148132048048
-3,-3,140,5.0,-0.08389085689417888,-0.08389085689417888
-3,-3,150,0.5,0.7793797757848328,0.7793797757848328
-3,-3,150,1.0,0.6083031823485734,0.5832341322342837
-3,-3,150,1.5,0.5511304955834442,0.5511304955834442
-3,-3,150,2.0,0.5903375335201749,0.5903375335201749
-3,-3,150,2.5,0.4238010715393826,0.4238010715393826
-3,-3,150,3.0,0.35339237159136794,0.35339237159136794
-3,-3,150,3.5,0.5250377568976561,0.5250377568976561
-3,-3,150,4.0,0.16171570734479207,0.16171570734479207
-3,-3,150,4.5,-0.12869645927415013,-0.12869645927415013
-3,-3,150,5.0,0.3261200473842975,0.3261200473842975
-3,-3,160,0.5,0.7341608882450443,0.7341608882450443
-3,-3,160,1.0,0.7397689121247175,0.7397689121247175
-3,-3,160,1.5,0.5189306275722224,0.4404373391244591
-3,-3,160,2.0,0.5784045933334868,0.5784045933334868
-3,-3,160,2.5,0.41345926227452784,0.41345926227452784
-3,-3,160,3.0,0.46976607150851235,0.46976607150851235
-3,-3,160,3.5,0.25368672734134423,0.25368672734134423
-3,-3,160,4.0,0.129590022008461,0.129590022008461
-3,-3,160,4.5,0.1981824327890189,0.1200605699469342
-3,-3,160,5.0,-0.1797021058494712,-0.1797021058494712
-3,-3,170,0.5,0.7385976962961915,0.7385976962961915
-3,-3,170,1.0,0.6072490763759791,0.6072490763759791
-3,-3,170,1.5,0.5513917003915205,0.5513917003915205
-3,-3,170,2.0,0.5654717964290359,0.5654717964290359
-3,-3,170,2.5,0.5806990043150099,0.5806990043150099
-3,-3,170,3.0,0.3962734363537183,0.30467792977800856
-3,-3,170,3.5,0.20537754881540793,0.20537754881540793
-3,-3,170,4.0,0.13653572465101457,-0.17248163350881063
-3,-3,170,4.5,0.24227507858664554,0.24227507858664554
-3,-3,170,5.0,0.4322046710905582,0.4322046710905582
-3,-3,180,0.5,0.8389589497445207,0.8389589497445207
-3,-3,180,1.0,0.7393887897239156,0.7393887897239156
-3,-3,180,1.5,0.59600138268323,0.59600138268323
-3,-3,180,2.0,0.5569187809437165,0.5569187809437165
-3,-3,180,2.5,0.5255366709550864,0.5255366709550864
-3,-3,180,3.0,0.4763921973476476,0.4763921973476476
-3,-3,180,3.5,0.33956860437967384,0.33956860437967384
-3,-3,180,4.0,0.21409963538292875,0.21409963538292875
-3,-3,180,4.5,0.10775776812975035,0.10775776812975035
-3,-3,180,5.0,0.024146738634421183,-0.024040385684888754
-3,-3,190,0.5,0.7686622800510707,0.7686622800510707
-3,-3,190,1.0,0.6085982298600923,0.6085982298600923
-3,-3,190,1.5,0.5692968823853573,0.5692968823853573
-3,-3,190,2.0,0.553758187967967,0.553758187967967
-3,-3,190,2.5,0.39678438983926195,0.39678438983926195
-3,-3,190,3.0,0.427132184517297,-0.022012758788483005
-3,-3,190,3.5,0.37122370665726473,0.37122370665726473
-3,-3,190,4.0,0.02225578778386428,0.02225578778386428
-3,-3,190,4.5,0.1525812935166715,-0.01410490436952436
-3,-3,190,5.0,0.07788822790832832,0.07788822790832832
-3,-3,200,0.5,0.7341608882450374,0.7341608882450374
-3,-3,200,1.0,0.7075519983756141,0.7075519983756141
-3,-3,200,1.5,0.5149081196565257,0.5149081196565257
-3,-3,200,2.0,0.5673187062512007,0.5673187062512007
-3,-3,200,2.5,0.4260139490658066,0.4260139490658066
-3,-3,200,3.0,0.30987582271875347,0.30987582271875347
-3,-3,200,3.5,0.5799637817304516,0.5799637817304516
-3,-3,200,4.0,-0.016348950540106863,-0.016348950540106863
-3,-3,200,4.5,0.2732891624461652,0.2732891624461652
-3,-3,200,5.0,-0.3046607055902183,-0.3046607055902183
-3,-3,210,0.5,0.748412142040114,0.748412142040114
-3,-3,210,1.0,0.6092539128967425,0.6092539128967425
-3,-3,210,1.5,0.5752228803820922,0.5752228803820922
-3,-3,210,2.0,0.5908702062565829,0.5908702062565829
-3,-3,210,2.5,0.6024757987608806,0.6024757987608806
-3,-3,210,3.0,0.31890907460789814,0.31890907460789814
-3,-3,210,3.5,0.11809523677345865,0.11809523677345865
-3,-3,210,4.0,0.20325158529653442,0.20325158529653442
-3,-3,210,4.5,0.1996902995048841,0.1996902995048841
-3,-3,210,5.0,0.34048632994503153,0.34048632994503153
-3,-3,220,0.5,0.8098298840600506,0.7956877790623408
-3,-3,220,1.0,0.7320024343484522,0.7024981865424388
-3,-3,220,1.5,0.7094404624427231,0.7094404624427231
-3,-3,220,2.0,0.6274553749211714,0.6274553749211714
-3,-3,220,2.5,0.6115989402730915,0.6115989402730915
-3,-3,220,3.0,0.6088501614176819,0.6088501614176819
-3,-3,220,3.5,0.5856214513277204,0.5856214513277204
-3,-3,220,4.0,0.4674606015412357,0.4674606015412357
-3,-3,220,4.5,0.360826729807198,0.360826729807198
-3,-3,220,5.0,0.25314926820046124,0.25314926820046124
-3,-3,230,0.5,0.8104758334246378,0.8104758334246378
-3,-3,230,1.0,0.7021455936828096,0.7021455936828096
-3,-3,230,1.5,0.591962865640405,0.591962865640405
-3,-3,230,2.0,0.523476667773431,0.523476667773431
-3,-3,230,2.5,0.5012526289684289,0.5012526289684289
-3,-3,230,3.0,0.6168195273871697,0.6168195273871697
-3,-3,230,3.5,0.5137679058813933,0.5137679058813933
-3,-3,230,4.0,0.1270286202176948,0.11244148532342374
-3,-3,230,4.5,-0.4663587073982812,-0.4663587073982812
-3,-3,230,5.0,-0.07611263313050194,-0.07611263313050194
-3,-3,240,0.5,0.7947663924730174,0.7947663924730174
-3,-3,240,1.0,0.7046593173170073,0.7046593173170073
-3,-3,240,1.5,0.7165771888306879,0.7165771888306879
-3,-3,240,2.0,0.6578231338039244,0.6578231338039244
-3,-3,240,2.5,0.5424963849608668,0.5277666576642144
-3,-3,240,3.0,0.5084532893988456,0.5084532893988456
-3,-3,240,3.5,0.5879029738345797,0.4719466436664786
-3,-3,240,4.0,-0.49953927589615377,-0.49953927589615377
-3,-3,240,4.5,0.34688473089629523,0.3074788751245777
-3,-3,240,5.0,-0.023861261311888343,-0.10223204196721103
-3,-3,250,0.5,0.7979301259148232,0.7979301259148232
-3,-3,250,1.0,0.7609732599050537,0.7609732599050537
-3,-3,250,1.5,0.7706065916585576,0.7706065916585576
-3,-3,250,2.0,0.6384542176997401,0.6248763180803371
-3,-3,250,2.5,0.7060071997262307,0.7003129862075316
-3,-3,250,3.0,0.6580722145168603,0.3269447895334217
-3,-3,250,3.5,0.5069555743488895,0.4599863518988915
-3,-3,250,4.0,0.1761245285830642,-0.11436682005596875
-3,-3,250,4.5,0.31572769471255163,0.12055916268653245
-3,-3,250,5.0,0.13343297991956762,-0.4394936396499938
-3,-3,260,0.5,0.8097703131619222,0.8097703131619222
-3,-3,260,1.0,0.805738947417831,0.805738947417831
-3,-3,260,1.5,0.8294287568398657,0.7465753324304623
-3,-3,260,2.0,0.7669892344109189,0.7069155497768351
-3,-3,260,2.5,0.8926729706829781,0.5077527316809904
-3,-3,260,3.0,0.6513631387504855,0.46625920105395596
-3,-3,260,3.5,1.0119534597771163,0.906472800884007
-3,-3,260,4.0,0.520753165309909,0.22774878931372797
-3,-3,260,4.5,0.18111235901125378,-0.48485335080099795
-3,-3,260,5.0,0.35723976569694127,-0.07007711930770333
-3,-3,270,0.5,0.8229780940463776,0.8229780940463776
-3,-3,270,1.0,0.8426706230639208,0.8426706230639208
-3,-3,270,1.5,0.8938969790908053,0.7412902296810846
-3,-3,270,2.0,0.8492645776775707,0.7544680523362857
-3,-3,270,2.5,1.1359684576141547,0.4973407124515618
-3,-3,270,3.0,0.8116038661902247,0.5868805461032519
-3,-3,270,3.5,0.6888022495041045,0.11053432054699933
-3,-3,270,4.0,0.7479439714083886,0.37818132581830227
-3,-3,270,4.5,-0.016232689458725358,-0.4569016189168885
-3,-3,270,5.0,0.6653543939384317,0.21751830275316825
-3,-3,280,0.5,0.842986397386651,0.842986397386651
-3,-3,280,1.0,0.870754436741779,0.870754436741779
-3,-3,280,1.5,0.9442608884774817,0.7637114199736486
-3,-3,280,2.0,0.9193106325259591,0.6981344419884691
-3,-3,280,2.5,0.9999670712076151,0.5791734740825321
-3,-3,280,3.0,0.9262165823302637,0.45017416309059877
-3,-3,280,3.5,0.9068492646950552,0.1566303438973379
-3,-3,280,4.0,0.8028303123108197,0.16281085574590448
-3,-3,280,4.5,0.808965908452687,-0.019966887692126047
-3,-3,280,5.0,0.49380097981835996,-0.2568108882039485
-3,-3,290,0.5,0.8656089811843237,0.8656089811843237
-3,-3,290,1.0,0.9003584822756376,0.8614737985091532
-3,-3,290,1.5,0.9733196841210892,0.8227828476999176
-3,-3,290,2.0,1.1028989992023934,0.6645560916427867
-3,-3,290,2.5,1.0293537761317464,0.6624439299909088
-3,-3,290,3.0,1.106488034364891,0.46138781880144886
-3,-3,290,3.5,1.1548035542572592,0.3580495461699658
-3,-3,290,4.0,1.0055567577427855,0.350173146843869
-3,-3,290,4.5,0.7070421156955247,-0.15694429832368034
-3,-3,290,5.0,1.016175265268831,-0.013189170609237758
-3,-3,300,0.5,0.892630911554605,0.892630911554605
-3,-3,300,1.0,0.9301879096370181,0.8655793174142768
-3,-3,300,1.5,1.0030234264804387,0.8128118408395878
-3,-3,300,2.0,1.0453038904123417,0.8037414307647661
-3,-3,300,2.5,1.1727980072028146,0.6323445469064276
-3,-3,300,3.0,1.4813386714266634,0.5295495313725391
-3,-3,300,3.5,1.254313103821462,0.5174369326458426
-3,-3,300,4.0,1.1396964477531084,0.05148503130137848
-3,-3,300,4.5,1.1074891385373222,-0.07717537163799225
-3,-3,300,5.0,1.1617647683011565,0.145265086830231
-3,-3,310,0.5,0.9182391472106972,0.9182391472106972
-3,-3,310,1.0,0.9684662008819942,0.9061711936573438
-3,-3,310,1.5,1.0477068849981683,0.8318693904356298
-3,-3,310,2.0,1.1690063878171109,0.7596972503909276
-3,-3,310,2.5,1.321473772589629,0.6844032109536633
-3,-3,310,3.0,1.4925969784164925,0.6233984576971788
-3,-3,310,3.5,1.4840331676258343,0.5872753815190319
-3,-3,310,4.0,1.4834476076001126,0.5524584545419263
-3,-3,310,4.5,1.471922757309598,0.5258682456091681
-3,-3,310,5.0,1.406642390703004,0.5474270788510579
-3,-3,320,0.5,0.9024388961386082,0.9024388961386082
-3,-3,320,1.0,0.9740399477301357,0.9194111311777914
-3,-3,320,1.5,1.0773321827956273,0.8765226241526954
-3,-3,320,2.0,1.1966621182324266,0.8238038089531643
-3,-3,320,2.5,1.326601058885768,0.7601091771184939
-3,-3,320,3.0,1.4668318307625234,0.6984039404279916
-3,-3,320,3.5,1.5051508293861482,0.6037019030632452
-3,-3,320,4.0,1.488618805799288,0.3841204688566807
-3,-3,320,4.5,1.4533734451984734,0.3421614341171381
-3,-3,320,5.0,1.3774106383363622,0.1565873370871933
-3,-3,330,0.5,0.8848947538048787,0.8848947538048787
-3,-3,330,1.0,0.9940324961284571,0.9356421440778075
-3,-3,330,1.5,1.042125318308693,0.9190988855522069
-3,-3,330,2.0,1.204408717733505,0.8895738453878173
-3,-3,330,2.5,1.3250938003438646,0.8242688759248509
-3,-3,330,3.0,1.2592500815826573,0.6873268653620425
-3,-3,330,3.5,1.5328728025430556,0.7878105726734979
-3,-3,330,4.0,1.7730642219305146,0.6886809943935586
-3,-3,330,4.5,1.5758299473973143,0.528328702683248
-3,-3,330,5.0,1.8736986325993232,0.6054770400057046
-3,-3,340,0.5,0.9014157116241958,0.9014157116241958
-3,-3,340,1.0,0.992289401574669,0.9654431474658393
-3,-3,340,1.5,1.0824572997774917,0.9294689217903015
-3,-3,340,2.0,1.1970377096376736,0.9171684211953408
-3,-3,340,2.5,1.215391712334944,0.8155018252759898
-3,-3,340,3.0,1.443061926668652,0.7814208814903145
-3,-3,340,3.5,1.3130040039504787,0.6626849283259608
-3,-3,340,4.0,1.6830985297168908,0.6258219080767464
-3,-3,340,4.5,1.5828190092325818,0.7404557464380797
-3,-3,340,5.0,1.9285591296771898,0.4426217147682917
-3,-3,350,0.5,0.9272291413991576,0.9272291413991576
-3,-3,350,1.0,0.990651966554429,0.9877760993043251
-3,-3,350,1.5,1.065807620823035,0.9317075818963023
-3,-3,350,2.0,1.1726244542393025,0.9114275730648692
-3,-3,350,2.5,1.235670197322117,0.8792696055573787
-3,-3,350,3.0,1.2091189319553504,0.5019111466257768
-3,-3,350,3.5,1.3932111755824164,0.6113675880800634
-3,-3,350,4.0,1.5678182833656342,0.6021515211028401
-3,-3,350,4.5,1.715931106511225,0.4184520281569549
-3,-3,350,5.0,1.7434981214314205,0.6175438054483156
-3,-2,0,0.5,0.8938175639399275,0.8938175639399275
-3,-2,0,1.0,0.9905886550634164,0.9905886550634164
-3,-2,0,1.5,1.0985900995568567,0.938107735904994
-3,-2,0,2.0,1.2174967362862792,0.8614538094812387
-3,-2,0,2.5,1.3324321375137496,0.7820309765762384
-3,-2,0,3.0,1.4238300187135855,0.6954269991041749
-3,-2,0,3.5,1.524864684582766,0.6020887638664467
-3,-2,0,4.0,1.5973408319172941,0.47114566112486933
-3,-2,0,4.5,1.6647375296545341,0.344842561212224
-3,-2,0,5.0,1.6756039428062235,0.1829989637997037
-3,-2,10,0.5,0.8781426419147198,0.8781426419147198
-3,-2,10,1.0,0.99891527744593,0.9813638420573434
-3,-2,10,1.5,1.0491460538762396,0.9343123824127393
-3,-2,10,2.0,1.239707709344372,0.8791787354795764
-3,-2,10,2.5,1.3226599493079794,0.6859893484108055
-3,-2,10,3.0,1.234872229419974,0.6696644964283888
-3,-2,10,3.5,1.6422775851485378,0.6565674534279295
-3,-2,10,4.0,1.6693879082992504,0.48045133943653684
-3,-2,10,4.5,1.4242312298521584,0.3548069283487768
-3,-2,10,5.0,2.0824282709624367,0.42646321085920397
-3,-2,20,0.5,0.8858060615913232,0.8858060615913232
-3,-2,20,1.0,0.9918300625367,0.9491874845209527
-3,-2,20,1.5,1.0934271100057553,0.9113395145101425
-3,-2,20,2.0,1.2518301229506388,0.8961217799023854
-3,-2,20,2.5,1.2332059727954472,0.7666122860548066
-3,-2,20,3.0,1.5975970777425743,0.7486404498793628
-3,-2,20,3.5,1.51691691723696,0.7281765372870542
-3,-2,20,4.0,1.7410902871027396,0.42071574790212996
-3,-2,20,4.5,1.9110487150308155,0.5321559370328707
