x,y,theta,mag,J
-3,-3,340,2.5,1.1631587000707417
-3,-3,340,3.0,1.2152201276129393
-3,-3,340,3.5,1.2672632527288876
-3,-3,340,4.0,1.319176182266906
-3,-3,340,4.5,1.3708243068365342
-3,-3,340,5.0,1.4224805067686261
-3,-3,350,0.5,0.9528995576052699
-3,-3,350,1.0,1.0042824241480095
-3,-3,350,1.5,1.0547902206909106
-3,-3,350,2.0,1.105247480271292
-3,-3,350,2.5,1.156073348235535
-3,-3,350,3.0,1.206394854367147
-3,-3,350,3.5,1.2573870146198383
-3,-3,350,4.0,1.30730532715901
-3,-3,350,4.5,1.3570198543321554
-3,-3,350,5.0,1.407097563995639
