level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,region,count,region name
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Primary visual area,"Primary visual area, layer 1",,,583,1,"Primary visual area, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Primary visual area,"Primary visual area, layer 4",,,711,1,"Primary visual area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Primary visual area,"Primary visual area, layer 5",,,768,3,"Primary visual area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,posteromedial visual area,"posteromedial visual area, layer 5",,,555,1,"posteromedial visual area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,,,,,,688,1388,Olfactory areas
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Anterior olfactory nucleus,,,,,154,120,Anterior olfactory nucleus
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Dorsal peduncular area,,,,,804,46,Dorsal peduncular area
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Main olfactory bulb,,,,,497,48,Main olfactory bulb
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Piriform area,,,,,951,7,Piriform area
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Taenia tecta,"Taenia tecta, dorsal part",,,,587,131,"Taenia tecta, dorsal part"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Taenia tecta,"Taenia tecta, ventral part",,,,595,212,"Taenia tecta, ventral part"
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Medial septal complex,Diagonal band nucleus,,,,586,31,Diagonal band nucleus
root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Medial septal complex,Medial septal nucleus,,,,554,3,Medial septal nucleus
